,rating,price,phone,id,review_count,name,url,latitude,longitude,address1,address2,address3,city,state,zip_code,country
21,4.0,$$$,(617) 423-0550,mxjVk5rvPNhzYe_vt3OSQA,1094,B&G Oysters,https://www.yelp.com/biz/b-and-g-oysters-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.34388,-71.07123,550 Tremont St,,,Boston,MA,2116,US
22,4.0,$$$$,(617) 542-2255,_98MfEQ67r9-V78gmy8_Pg,1113,Grill 23 & Bar,https://www.yelp.com/biz/grill-23-and-bar-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3494218727725,-71.0720500564835,161 Berkeley St,,,Boston,MA,2116,US
23,4.0,$$,(617) 516-8913,lCMN0raxlHnBFDoLgkz4sw,828,Milkweed,https://www.yelp.com/biz/milkweed-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.332183,-71.099586,1508 Tremont St,,,Boston,MA,2120,US
24,4.0,$$$$,(617) 412-4600,1hWZ0K2DOKZB9Xft08VZ9g,694,Sorellina,https://www.yelp.com/biz/sorellina-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3488367161261,-71.0779036594912,1 Huntington Ave,,,Boston,MA,2116,US
25,4.5,$$$,(617) 536-9500,poswq7BdLM9Iryd9palDVQ,473,SRV Boston,https://www.yelp.com/biz/srv-boston-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3409180006501,-71.0816150531173,569 Columbus Ave,,,Boston,MA,2118,US
26,4.0,$$,(617) 557-9248,T4nEmSQNeTKnNgcHpnvH0A,1358,Panza,https://www.yelp.com/biz/panza-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3646699,-71.05382,326 Hanover St,,,Boston,MA,2113,US
27,4.0,$$,(617) 423-7888,Q8g68ZDAt93h_n_wTbwshA,901,Shojo,https://www.yelp.com/biz/shojo-boston-4?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.35113,-71.06077,9A Tyler St,,,Boston,MA,2111,US
28,4.0,$$$$,(617) 670-2515,fEKzWC1sbfZSElp46FoNag,944,Mooo Restaurant,https://www.yelp.com/biz/mooo-restaurant-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3583014944831,-71.0619811489821,15 Beacon St,,,Boston,MA,2108,US
29,4.0,$$$$,(617) 742-9991,uYqizPy4eUSpwOha0RkVPg,706,No. 9 Park,https://www.yelp.com/biz/no-9-park-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.35762993064969,-71.0627950635177,9 Park St,,,Boston,MA,2108,US
30,4.0,$$,(617) 451-1800,nyy38msunExaObJOeH7j0Q,822,Bootleg Special,https://www.yelp.com/biz/bootleg-special-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3471199,-71.06834,400 Tremont St,,,Boston,MA,2116,US
31,4.5,$$,(857) 250-4497,5NsdznaNSUmH2O0vuo65Pw,301,Cornish Pasty,https://www.yelp.com/biz/cornish-pasty-boston-3?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.34972501490227,-71.08928532990568,51A Massachusetts Ave,,,Boston,MA,2115,US
32,4.0,$$$,(617) 248-6800,55PGG2U1z-q7Z694F-B-_w,1111,Bricco,https://www.yelp.com/biz/bricco-boston-6?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.36309,-71.05495,241 Hanover St,,,Boston,MA,2113,US
33,3.5,$$,(617) 266-1300,7B9dJn1uWTv9QPnFcDwaXw,1598,Sweet Cheeks Q,https://www.yelp.com/biz/sweet-cheeks-q-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.343898,-71.101103,1381 Boylston St,,,Boston,MA,2215,US
34,3.5,$$$,(617) 477-2900,et8Pwzjy2vjRhETAgEZ1Lg,1473,Legal Sea Foods - Harborside,https://www.yelp.com/biz/legal-sea-foods-harborside-boston-3?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.34865,-71.03779,270 Northern Ave,Fl 2,,Boston,MA,2210,US
35,4.0,$$$,(617) 517-5915,E2De90kZUtXIS2dy-vn1yg,589,Deuxave,https://www.yelp.com/biz/deuxave-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.349521,-71.089166,371 Commonwealth Ave,,,Boston,MA,2115,US
36,4.0,$$,(617) 536-2020,PUZSvR-nEHlhEi0gSADu7w,936,Piattini,https://www.yelp.com/biz/piattini-boston-3?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.34969,-71.08122,226 Newbury St,,,Boston,MA,2116,US
37,4.5,$$$,(617) 348-1234,ecqjHw3jeEApa9eZ622hAA,378,Fin Point Oyster Bar & Grill,https://www.yelp.com/biz/fin-point-oyster-bar-and-grill-boston-2?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.35742537917813,-71.05302558403368,89 Broad St,,,Boston,MA,2110,US
38,4.0,$$,(617) 266-1122,tKRg7pxR2Sw7aSrHTQS5mQ,777,Buttermilk & Bourbon,https://www.yelp.com/biz/buttermilk-and-bourbon-boston-2?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3513,-71.07864,160 Commonwealth Ave,,,Boston,MA,2116,US
39,3.5,$$$,(617) 742-5300,VDmV3tPEQqFxzqQJRJazNw,1425,Legal Sea Foods - Long Wharf,https://www.yelp.com/biz/legal-sea-foods-long-wharf-boston-6?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3595530399974,-71.0510174185038,255 State St,,,Boston,MA,2109,US
40,4.0,$$,(857) 957-0949,m1ertlgQIxAl74D7nCsvbQ,1075,Earls Kitchen + Bar,https://www.yelp.com/biz/earls-kitchen-bar-boston-2?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.34722514515457,-71.08189270406079,800 Boylston St,Unit 107,,Boston,MA,2199,US
41,4.0,$$,(617) 765-8636,rdpY_LeMnDnfeK47eDnDOw,938,Lincoln Tavern and Restaurant,https://www.yelp.com/biz/lincoln-tavern-and-restaurant-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.336323,-71.0476,425 W Broadway,,,Boston,MA,2127,US
42,4.0,$$,(617) 917-5626,xVxjzyMqghCYwVe_dwJzJw,670,Loco Taqueria & Oyster Bar,https://www.yelp.com/biz/loco-taqueria-and-oyster-bar-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3369670759542,-71.0477377406966,412 W Broadway,,,Boston,MA,2127,US
43,4.5,$$$,(617) 356-1100,eJzWmVgMY5x1n281Qw6YDQ,369,KAVA neo-taverna,https://www.yelp.com/biz/kava-neo-taverna-boston-2?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.34239,-71.07043,315 Shawmut Ave,,,Boston,MA,2118,US
44,4.0,$$,(617) 338-7887,_RWkck7niE8VJG3zLXK2ig,866,Silvertone Bar & Grill,https://www.yelp.com/biz/silvertone-bar-and-grill-boston-3?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3571054428948,-71.0608611773038,69 Bromfield St,,,Boston,MA,2108,US
45,4.0,$$$,(617) 737-0099,8zLHresim_7dPvkYSuBVzA,516,Menton,https://www.yelp.com/biz/menton-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3504581,-71.0483829,354 Congress St,,,Boston,MA,2210,US
46,4.5,$$,(617) 725-8855,l4YpEuvIm_RqNXleuDIthw,326,Ma Maison,https://www.yelp.com/biz/ma-maison-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3609838,-71.0680064,272 Cambridge St,,,Boston,MA,2114,US
47,3.5,$$,(617) 351-2500,gOjh7RMDZDn4h-QmwnAseA,1384,Sonsie,https://www.yelp.com/biz/sonsie-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.34884,-71.08625,327 Newbury St,,,Boston,MA,2115,US
48,4.5,$$,(617) 337-5703,IJ2MnBlIvib0aU2hbmr0hg,443,The Brewer's Fork,https://www.yelp.com/biz/the-brewers-fork-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.37671,-71.05649,7 Moulton St,,,Boston,MA,2129,US
49,4.0,$$$$,(617) 742-8401,_VEQpntwiMLUbNPLvxvwzA,874,Ruth's Chris Steak House,https://www.yelp.com/biz/ruths-chris-steak-house-boston-2?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.358125,-71.059337,45 School St,,,Boston,MA,2108,US
50,4.0,$$$,(617) 227-5011,RDZJY7ls8-2hNkkXFIJg4g,659,Boston Chops South End,https://www.yelp.com/biz/boston-chops-south-end-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3415074053928,-71.0696210990184,1375 Washington St,,,Boston,MA,2118,US
51,4.0,$$,(617) 523-4480,LGNpVs8cRBllNVml8wI0Vg,783,Limoncello Ristorante,https://www.yelp.com/biz/limoncello-ristorante-boston-2?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3634326,-71.0539465,190 North St,,,Boston,MA,2113,US
52,4.0,$$$,(617) 426-7878,l45r09qD9iIkQn9KoKKfuw,653,Bistro du Midi,https://www.yelp.com/biz/bistro-du-midi-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.351981434352,-71.069533707682,272 Boylston St,,,Boston,MA,2116,US
53,4.0,$$,(617) 424-6711,jIxhHWqxKd5ZWBIEmsFxWQ,693,Citrus & Salt,https://www.yelp.com/biz/citrus-and-salt-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.348728,-71.072284,142 Berkeley St,,,Boston,MA,2116,US
54,4.0,$$,(857) 350-3344,MKIngNGj0_cBKV4leGuCjw,730,The Tip Tap Room,https://www.yelp.com/biz/the-tip-tap-room-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.36105,-71.063986,138 Cambridge St,,,Boston,MA,2114,US
55,4.0,$$$,(617) 530-1770,bZhUufqdpg5qxsDKpIRv5A,389,Bar Mezzana,https://www.yelp.com/biz/bar-mezzana-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3445756001492,-71.0635791144088,360 Harrison Ave,,,Boston,MA,2118,US
56,4.0,$$$,(617) 742-0404,q5dHr7QnzUooZ2vSUHyVvg,612,Nico Ristorante,https://www.yelp.com/biz/nico-ristorante-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3656649,-71.0528222,417 Hanover St,,,Boston,MA,2113,US
57,4.0,$$$,(617) 587-4200,dXPmYs9b3xyv9Zqa0z8adA,581,La Voile,https://www.yelp.com/biz/la-voile-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.34963,-71.0833,261 Newbury St,,,Boston,MA,2116,US
58,4.0,$$,(617) 737-5051,8a_P_6kYaIM2HdOEd0xzmg,681,Committee,https://www.yelp.com/biz/committee-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.35326915689515,-71.04611364860729,50 Northern Ave,,,Boston,MA,2210,US
60,4.0,$$,(617) 350-0010,fmw_0vST7GjdibObHWLOuQ,523,Franklin Cafe,https://www.yelp.com/biz/franklin-cafe-boston-5?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.34291,-71.06895,278 Shawmut Ave,,,Boston,MA,2118,US
61,3.5,$$$,(617) 542-3456,nqKL5PbJbwwoCK_Xon31kA,958,Maggiano's Little Italy,https://www.yelp.com/biz/maggianos-little-italy-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3513145744801,-71.0684162378311,4 Columbus Ave,,,Boston,MA,2116,US
62,3.5,$$,(617) 338-5333,09pqlAR4TSjQXNTiB4cXjw,825,Jm Curley,https://www.yelp.com/biz/jm-curley-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3552425760626,-71.0623372441206,21 Temple Pl,,,Boston,MA,2111,US
63,3.5,$$,(617) 867-9955,I07zWZ_JGqVAp3ZPxIpDYg,962,Summer Shack - Boston,https://www.yelp.com/biz/summer-shack-boston-boston-3?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.347067,-71.085658,50 Dalton St,,,Boston,MA,2115,US
64,4.0,$$,(617) 523-3112,xVJv__UZMNfW1O4oGUrvWw,495,Terramia Ristorante,https://www.yelp.com/biz/terramia-ristorante-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.364028,-71.055697,98 Salem St,,,Boston,MA,2113,US
65,4.0,$$$,(617) 936-3490,twXlQB0UMBrAVas53QN9BA,411,MIDA - Boston,https://www.yelp.com/biz/mida-boston-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3390798790878,-71.0804313331291,782 Tremont St,,,Boston,MA,2118,US
66,4.0,$$,(617) 247-2931,geqpfK2WO6uHJCDpNofURA,506,Metropolis,https://www.yelp.com/biz/metropolis-cafe-boston-5?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.34324,-71.072621,584 Tremont St,,,Boston,MA,2118,US
67,4.5,$$,(617) 536-0230,mnFhrH1Fi5GoSuV-5gVpnA,217,Krasi,https://www.yelp.com/biz/krasi-boston-2?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3486717927888,-71.084109,48 Gloucester St,,,Boston,MA,2115,US
68,3.0,$$$,(617) 426-2722,oz882XuZCxajKo64Opgq_Q,2283,Barking Crab,https://www.yelp.com/biz/barking-crab-boston-2?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3526056660998,-71.0516597924946,88 Sleeper St,,,Boston,MA,2210,US
69,3.5,$$,(617) 536-4200,smiGOZuyboXfc8LyC2jXpg,1083,Joe's On Newbury,https://www.yelp.com/biz/joes-on-newbury-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.350469,-71.079786,181 Newbury St,,,Boston,MA,2116,US
70,4.5,$$,(617) 266-0707,qJxjhLQjLcYnpcqqDHS3Jg,240,PURO ceviche bar,https://www.yelp.com/biz/puro-ceviche-bar-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.34918,-71.08311,264 Newbury St,,,Boston,MA,2116,US
